0191100,ENGLISH KG,FY
0101100,ENGLISH 01,FY
0102100,ENGLISH 02,FY
0103100,ENGLISH 03,FY
0104100,ENGLISH 04,FY
0105100,ENGLISH 05,FY
0106100,ENGLISH 06,FY
0107100,ENGLISH 07,FY
0108100,ENGLISH 08,FY
0109100,ENGLISH 09,FY
0110100,ENGLISH 10,FY
0111100,ENGLISH 11,FY
0112100,ENGLISH 12,FY
0291100,MATH KG,FY
0201100,MATH 01,FY
0202100,MATH 02,FY
0203100,MATH 03,FY
0204100,MATH 04,FY
0205100,MATH 05,FY
0206100,MATH 06,FY
0207100,MATH 07,FY
0208100,MATH 08,FY
0209100,MATH 09,FY
0210100,MATH 10,FY
0211100,MATH 11,FY
0212100,MATH 12,FY
0391100,SCIENCE KG,FY
0301100,SCIENCE 01,FY
0302100,SCIENCE 02,FY
0303100,SCIENCE 03,FY
0304100,SCIENCE 04,FY
0305100,SCIENCE 05,FY
0306100,SCIENCE 06,FY
0307100,SCIENCE 07,FY
0308100,SCIENCE 08,FY
0309100,SCIENCE 09,FY
0310100,SCIENCE 10,FY
0311100,SCIENCE 11,FY
0312100,SCIENCE 12,FY
0491100,SOCIAL STUDIES KG,FY
0401100,SOCIAL STUDIES 01,FY
0402100,SOCIAL STUDIES 02,FY
0403100,SOCIAL STUDIES 03,FY
0404100,SOCIAL STUDIES 04,FY
0405100,SOCIAL STUDIES 05,FY
0406100,SOCIAL STUDIES 06,FY
0407100,SOCIAL STUDIES 07,FY
0408100,SOCIAL STUDIES 08,FY
0409100,SOCIAL STUDIES 09,FY
0410100,SOCIAL STUDIES 10,FY
0411100,SOCIAL STUDIES 11,FY
0412100,SOCIAL STUDIES 12,FY
0591100,ART KG,FY
0501100,ART 01,FY
0502100,ART 02,FY
0503100,ART 03,FY
0504100,ART 04,FY
0505100,ART 05,FY
0506100,ART 06,FY
0507100,ART 07,FY
0508100,ART 08,FY
0509100,ART 09,FY
0510100,ART 10,FY
0511100,ART 11,FY
0512100,ART 12,FY
0891100,PHYS ED KG,FY
0801100,PHYS ED 01,FY
0802100,PHYS ED 02,FY
0803100,PHYS ED 03,FY
0804100,PHYS ED 04,FY
0805100,PHYS ED 05,FY
0806100,PHYS ED 06,FY
0807100,PHYS ED 07,FY
0808100,PHYS ED 08,FY
0809100,PHYS ED 09,FY
0810100,PHYS ED 10,FY
0811100,PHYS ED 11,FY
0812100,PHYS ED 12,FY
